ArtWorkLocationID,ArtWorkType,Title,PrimaryArtist,ExecutionDate,InstallationDate,Setting,Category,Ownership
167,Other,Friendship Corner Lamp Standard,Unknown,1929,NULL,On reserve at Friendship Corner in Oxford Terrace.,Intergrated Artwork,Christchurch City Council
168,Plaque,Bridge of Remembrance Commemorative Plaque,Unknown,1978,NULL,Inset on the wall of the Bridge of Remembrance at the west end.,Plaques,Christchurch City Council
169,Other,Antigua Boatshed Stone Seat,Unknown,NULL,NULL,On riverbank in Oxford Terrace opposite Antigua Boatshed.,Intergrated Artwork,Christchurch City Council
170,Other/Plaque,Centennial Waterwheel & Plaque,Unknown,1987,NULL,Below Hereford Street bridge in the Avon River Oxford Terrace.,Plaques,Christchurch City Council
171,Other/Plaque,Horse Watering Ramp Plaque,Unknown,1874,NULL,On riverbank in Victoria Square just below the Armagh Street bridge.,Plaques,Christchurch City Council
172,Monument,Coutts Island War Memorial,Unknown,NULL,NULL,On reserve at the Intersection of Dickeys Road and Coutts Island Road.,Urban and Environmental Artwork,Christchurch City Council
173,Plaque,Risingholme Park Dedication Plaque,Unknown,1943,NULL,On reserve adjacent to main entrance driveway off Cholmondeley Avenue.,Plaques,Christchurch City Council
174,Fountain/Drinking Fountain,Millbrook Reserve Drinking Fountain,Unknown,NULL,NULL,On reserve beside pathway adjacent to river bank.,Intergrated Artwork,Christchurch City Council
175,Plaque,Millbrook Reserve Plaque,Unknown,1992,NULL,On reserve beside pathway in central garden.,Plaques,Christchurch City Council
176,Plaque,Edmonds Factory Rose Garden Plaque,Unknown,1994,NULL,On reserve at entrance to rose garden.,Plaques,Christchurch City Council
177,Fountain/Drinking Fountain,Edmonds Factory Garden Fountain,Unknown,NULL,NULL,"On reserve in oval garden area, in front of memorial rose garden.",Intergrated Artwork,Christchurch City Council
178,Light Sculpture,Blue,Bill Culbert,2000,NULL,Convention centre.,Urban and Environmental Artwork,Christchurch City Council
179,Mural/Painting,Millennium Mural,Philip Trusttum,2000,NULL,Convention centre.,Urban and Environmental Artwork,Christchurch City Council
180,Sculpture,Chalice,Neil Dawson,NULL,NULL,Cathedral Square.,Urban and Environmental Artwork,Christchurch City Council
181,Other,Witch Hill War Memorial,Unknown,NULL,NULL,"On rock summit of Witch Hill above the Summit Road, over looking the Rapaki Track.",Intergrated Artwork,Christchurch City Council
182,Monument,Lost Boy Memorial ( William Mason),Unknown,NULL,NULL,"Off to the side of Rapaki Track, approximately 1km from the Summit Road.",Intergrated Artwork,Christchurch City Council
183,Monument,Lost Boy Memorial (John Lilly),Unknown,1883,NULL,Stands on the slope overlooking Dry Bush and the Rapaki Track.,Intergrated Artwork,Christchurch City Council
184,Other,Sign of the Bellbird,Unknown,1914,NULL,"At the top of Kennedys Bush reserve, just below the Summit Road.",Intergrated Artwork,Christchurch City Council
185,Sculpture,Addington Worker in Tune,Judith Streat,NULL,NULL,"Corner of Lincoln Road and Parlane Street, Addington.",Urban and Environmental Artwork,Christchurch City Council
186,Embroidery/Tapestry/Weaving,Tapestry 2000,Philip Trusttum,NULL,NULL,Town Hall.,Urban and Environmental Artwork,Christchurch City Council
187,Fountain/Drinking Fountain,The Peverel Fountain,Richard Wiki,NULL,NULL,Peverel Street between Clarence Street and Picton Avenue.,Community Artwork,Christchurch City Council
188,Fountain/Drinking Fountain,The Seating Well,Richard Wiki,NULL,NULL,Peverel Street between Clarence and Picton Avenue.,Community Artwork,Christchurch City Council
189,Mural/Painting,Linwood Public Conveniences Mural,Unknown,NULL,NULL,Corner Worcester Street and Stanmore Road.,Community Artwork,Christchurch City Council
190,Sculpture,The Radii,Marcus Moors,NULL,NULL,Bus Exchange.,Urban and Environmental Artwork,Other
191,Other,Horseshoe Lake Reserve Interpretation Shelter,Jeff Thompson,NULL,NULL,At the entrance to the Horseshoe Lake pump station on New Brighton Road.,Intergrated Artwork,Christchurch City Council
192,Mural/Painting,Lupins Mural,Sam Billings,NULL,NULL,Corner Stanmore Road and Tuam Street.,Community Artwork,Christchurch City Council
193,Embroidery/Tapestry/Weaving,Puawaitanga o te Ringa,Unknown,NULL,NULL,Central Library.,Urban and Environmental Artwork,Christchurch City Council
194,Mural/Painting,Woolston Public Conveniences Mural,Unknown,NULL,NULL,Corner of Ferry Road and Mathesons Road.,Community Artwork,Christchurch City Council
195,Sculpture,Geko,Garry Arthur,NULL,NULL,Cashmere Village Green - Dyres pass Road.,Urban and Environmental Artwork,Christchurch City Council
196,Sculpture,Moa,Garry Arthur,NULL,NULL,Cashmere Village Green - Dyres pass Road.,Urban and Environmental Artwork,Christchurch City Council
197,Mural/Painting,Kahukura,Unknown,NULL,NULL,New Brighton Library.,Urban and Environmental Artwork,Christchurch City Council
198,Sculpture,Te Pani Sculpture Garden,Bon Sutter,NULL,NULL,"Marine Parade, South New Brighton.",Urban and Environmental Artwork,Other
199,Sculpture,Rising messiah,Unknown,NULL,NULL,Cathedral Square - To the Right of cathedral entrance.,Urban and Environmental Artwork,Other
200,Sculpture,Bronze Figure,Unknown,NULL,NULL,Linwood Community Art Centre  - Corner Worcester Street and Stanmore Street.,Urban and Environmental Artwork,Christchurch City Council
201,Other,Heathcote Domain Footbridge,John Marsh,NULL,NULL,Heathcote Domain - corner of Port Hills Road and Bridle Path Road.,Intergrated Artwork,Christchurch City Council
202,Sculpture,Eels,Bing Dawe,NULL,NULL,Centaurus Road,Urban and Environmental Artwork,Christchurch City Council
203,Mural/Painting,Belfast Community Pool Mural,Unknown,2002,NULL,"Sheldon Park, Main North Road.",Community Artwork,Christchurch City Council
204,Mural/Painting,Belfast Rugby Football Club Mural,Unknown,2002,NULL,"Sheldon Park, Main North Road.",Community Artwork,Christchurch City Council
205,Mural/Painting,Kyle Park Undertunnel Mural,Unknown,2001,NULL,Hornby.,Community Artwork,Christchurch City Council
206,Mural/Painting,Macfarlane Park Toilets Mural,Unknown,2002,NULL,"Acheson Avenue, Shirley.",Community Artwork,Christchurch City Council
207,Mural/Painting,Macfarlane Park Community Centre Mural,Unknown,2001,NULL,"Acheson Avenue, Shirley.",Community Artwork,Christchurch City Council
208,Sculpture,Respect,Llewellyn Summers,NULL,NULL,Corner of Lyttelton Street and Lincoln Road.,Community Artwork,Christchurch City Council
209,Mural/Painting,Wainoni School Mural,Unknown,2001,NULL,"Eureka Street, Aranui.",Urban and Environmental Artwork,NULL
210,Mural/Painting,New Brighton Altheletics Club Mural,Unknown,2002,NULL,"Keyes Road, New Brighton.",Community Artwork,Christchurch City Council
211,Other,Northwood Reserve Footbridge,John Marsh,NULL,NULL,Northwood Subdivision.,Intergrated Artwork,Christchurch City Council
213,Mural/Painting,QEII Underpass Mural,Unknown,2000,NULL,"Hills Road, Mairehau.",Community Artwork,Christchurch City Council
214,Mural/Painting,Educational Childcare Centre Mural,Unknown,2001,NULL,96 Gayhurst Road.,Community Artwork,Christchurch City Council
215,Mural/Painting,Halswell Aquatics Centre Mural,Unknown,2001,NULL,Halswell Road.,Community Artwork,Christchurch City Council
216,Mural/Painting,Burnside Elim Church Mural,Unknown,2002,NULL,"193 Grahams Road, Burnside.",Community Artwork,Christchurch City Council
217,Other,Handrails over Dudley Creek,,NULL,NULL,corner Jamieson Ave and McFaddens Rd.,Intergrated Artwork,Christchurch City Council
218,Other,Canoe Ramp Bollards,,NULL,NULL,Heathcote River at Thorrington School,Intergrated Artwork,Christchurch City Council
219,Other,Light Poles,,NULL,NULL,Anzac Drive Bridge Light Standards.,Intergrated Artwork,Christchurch City Council
220,Mural/Painting,Port Hills Mural,Sue Cook,1988,NULL,"Convention Centre, Kilmore Street  - Mounted on an internal wall.",Non Public Artwork,Other
221,Mural/Painting,Waitaha,Cath Brown,NULL,NULL,"Alersgate Centre, Methodist Mission, Durham Street - Situatied to the rear of the foyer.",Non Public Artwork,Other
222,Mural/Painting,Fall of the Rebel Angels,Cameron Foggo,1996,NULL,"Principal Design, Colombo Street - Painted onto an area of the curved ceiling in the middle of the clothing retail shop.",Non Public Artwork,Other
223,Sculpture,A Sure Friend in Uncertain Times,Tom Bass,NULL,NULL,"AMP Building, Worcester Street, off The Square - Placed in entrance foyer to the right.",Non Public Artwork,Other
224,Mural/Painting,Conservation Mural,Rick Edmonds,1991,NULL,"Conservation building, Victoria Street - Situated at the rear of the entrance foyer.",Non Public Artwork,Other
225,Sculpture,Joy of Eternal Spring,Llewellyn Summers,2002,NULL,"Ensor's Road, Charleston.",Urban and Environmental Artwork,Christchurch City Council
227,Other/Sculpture,Styx River Bridge,Perry Royal,NULL,NULL,Croften Road.,Intergrated Artwork,Christchurch City Council
228,Fountain/Drinking Fountain,Te Puna Ora Spring,Riki Manuel,1992,NULL,Botanic Gardens west of Central Rose Garden adjacent to Water Garden.,Intergrated Artwork,Christchurch City Council
229,Fountain/Drinking Fountain/Sculpture,Meniscus,Pippin Wrightson,NULL,NULL,Water Fountain outside Centennial Leisure Centre.,Intergrated Artwork,Christchurch City Council
230,Sculpture,Untitled,Jeff Thompson,NULL,NULL,"Corner Colombo, Strickland and Summerfield Street",Urban and Environmental Artwork,Christchurch City Council
231,Sculpture,The Spheres,Karen Genoff,2001,2001,"Entrance to Adelaide, Australia, Sister City Garden, Halswell Quarry Park. Cast bronze, depicting eucalyptus pods and caps.",Urban and Environmental Artwork,Christchurch City Council
232,Plaque,"Adelaide, Australia; Sister City Garden plaque",,2001,2001,"Adelaide, Australia, Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
233,Other,Lych Gate,,2001,2001,"Christchurch, England, Sister City Garden, Halswell Quarry Park. Constructed using stone, wooden frame, shingle roof. Seating inside.",Intergrated Artwork,Christchurch City Council
234,Plaque,"Christchurch, England; Sister City Garden plaque",,2001,2001,"Christchurch, England Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
235,Plaque,Gansu Plaque,,2001,2001,"Gansu Province, China, Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
236,Other,Gansu Gate,Graham Densem,2004,2004,"Gansu Province, China, Sister City Gardens, Halswell Quarry Park. Comprises; tiled roof, supported by pillars; courtyard, seating & paved areas.",Intergrated Artwork,Christchurch City Council
237,Other,"Timber Summerhouse, Kurashiki",,2001,2001,"Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Timber summerhouse.",Intergrated Artwork,Christchurch City Council
238,Plaque,"Kurashiki, Japan; Sister City Garden plaque",,2001,2001,"Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
239,Plaque,"Timber Summerhouse plaque, Kurashiki",,2001,2001,"Timber summerhouse, Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Attached to an interior wall of the timber summerhouse.",Plaques,NULL
240,Other,"Timber Pergola, Kurashiki",,2001,2001,"Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Timber pergola.",Intergrated Artwork,Christchurch City Council
241,Other,"Kenta Bridge, Kurashiki",,2001,2001,"Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Timber bridge. Memorial for the son of Mr Takeuchi, a former consular affairs officer.",Intergrated Artwork,Christchurch City Council
242,Plaque,"Kenta Bridge plaque, Kurashiki",,2001,2001,"Kenta bridge, Kurashiki, Japan, Sister City Garden, Halswell Quarry Park. Plaque attached to the Kenta Bridge.",Plaques,NULL
243,Sculpture,Seattle Seat Sculpture,Doug Neil,2001,2001,"Seattle, USA, Sister City Garden, Halswell Quarry Park. Wooden seat. Ends carved from Oamaru stone. Figures include: frog, eagle, orca, and sea wolf.",Urban and Environmental Artwork,Christchurch City Council
244,Plaque,"Seattle, USA; Sister City Garden plaque",,2001,2001,"Seattle, USA, Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
245,Plaque,"Songpa-gu, Korea; Sister City Garden plaque",,2001,2001,"Entrance to Songpa-gu, Korea, Sister City Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
246,Sculpture,"Carved stone statues, Korea.",,2003,2001,"Entrance to Songpa-gu, Korea, Sister City Garden, Halswell Quarry Park. Two carved stone statues. Presented by Keun Min Woo of Jeju Province.",Urban and Environmental Artwork,Christchurch City Council
247,Sculpture,"Wooden guardian poles; Jang seung, Korea",Aaron (Suk Won) Seo,2001,2001,"Songpa-gu, Korea Sister City Garden, Halswell Quarry Park. Two wooden carved and painted guardian poles. Set in concrete.",Urban and Environmental Artwork,Christchurch City Council
248,Sculpture,"Carved Stone Lantern, Korea",,2001,2001,"Songpa-gu, Korea, Sister City Garden, Halswell Quarry Park. Carved stone lantern. Set in concrete. Surrounded by brown painted wooden fence.",Urban and Environmental Artwork,Christchurch City Council
249,Plaque,Canterbury Native Garden plaque,,2001,2001,"Canterbury Native Garden, Halswell Quarry Park. Attached to Halswell Quarry stone.",Plaques,Christchurch City Council
250,Other,The Spring View,,NULL,NULL,On Peverl Street between Picton and Clarence Sts.,Intergrated Artwork,Christchurch City Council
251,Fountain/Drinking Fountain,Stuart Mill Fountain,Jocelyn Mahoney,NULL,NULL,On corner of Stuart Mill Street and Moorhouse Ave.,Community Artwork,Christchurch City Council
252,Monument,Lions Picnic Area Entrance,,2003,2003,"Lions Picnic Area, Halswell Quarry Park.",Intergrated Artwork,Christchurch City Council
253,Plaque,Lions Picnic Area Plaque,,2003,2003,"Entrance to Lions Picnic Area, Halswell Quarry Park. To mark 25 years of service to the community. Lions Club of Halswell & Districts.",Plaques,Christchurch City Council
254,Other,Korean Peace Bridge,,2003,2003,"Songpa-gu, Korea, Sister City Garden, Halswell Quarry Park. Timber bridge. Funded by NZ Korean vets, and Korean Ambassador to NZ.",Intergrated Artwork,Christchurch City Council
255,Other,Pukeko Stalking,Antony Shadbolt,2002,2002,Installed in Paved Seating Area.,Intergrated Artwork,Christchurch City Council
